"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript JSX", "JSON", "Ruby", "JavaScript", "Markdown", "Properties", "Groovy", "Batch", "Swift", "Objective-C", "JSON with Comments", "Environment Variables", "C++", "Makefile", "comment", "blank", "total"
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/video.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/AnimatedIcon.tsx", "TypeScript JSX", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 166
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/AuthHeader.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/CategoryCard.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 58
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/ChatHeader.tsx", "TypeScript JSX", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 168
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/CheckboxWithTerms.tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 151
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/Divider.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/DoctorCard.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 115
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/DoctorInfoCard.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 87
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/FooterLink.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/InputField.tsx", "TypeScript JSX", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 199
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/MessageBubble.tsx", "TypeScript JSX", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 122
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/MessageInput.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 130
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/ParticleBackground.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 102
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/PrimaryButton.tsx", "TypeScript JSX", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 156
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/SlideContent.tsx", "TypeScript JSX", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 210
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/SocialButton.tsx", "TypeScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 111
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/TypingIndicator.tsx", "TypeScript JSX", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 120
"/Users/birajtech/Desktop/HelloDoc/src/frontend/components/index.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
